Company Name,Location,Description,Batch,Context,YC URL,Contact Source
Indemni,"San Francisco, CA, USA",Cargo Theft and Fraud Prevention Platform,Winter 2024,YC Winter 2024 startup - SaaS platform that needs product pages indexed quickly for user acquisition,https://www.ycombinator.com/companies/indemni,https://www.ycombinator.com/companies/indemni - Check company website for contact info
ParcelBio,,Next-generation mRNA medicines,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/parcelbio,https://www.ycombinator.com/companies/parcelbio - Check company website for contact info
K-Scale Labs,"Palo Alto, CA, USA",Open-source humanoid robots,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/k-scale-labs,https://www.ycombinator.com/companies/k-scale-labs - Check company website for contact info
Marr Labs,"San Francisco, CA, USA",AI-voice agents that are indistinguishable from humans.,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/marr-labs,https://www.ycombinator.com/companies/marr-labs - Check company website for contact info
Forge Rewards,"San Francisco, CA, USA",Starbucks app for restaurants,Winter 2024,YC Winter 2024 startup - SaaS platform that needs product pages indexed quickly for user acquisition,https://www.ycombinator.com/companies/forge-rewards,https://www.ycombinator.com/companies/forge-rewards - Check company website for contact info
Dropback,Remote,The front office software suite for college sports,Winter 2024,YC Winter 2024 startup - SaaS platform that needs product pages indexed quickly for user acquisition,https://www.ycombinator.com/companies/dropback,https://www.ycombinator.com/companies/dropback - Check company website for contact info
RetailReady,,An AI-powered supply chain compliance engine,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/retailready,https://www.ycombinator.com/companies/retailready - Check company website for contact info
Same,"San Francisco, CA, USA",Build products without coding,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/same,https://www.ycombinator.com/companies/same - Check company website for contact info
NowHouse,,NowHouse helps stock brokerages settle trades instantly.,Winter 2024,YC Winter 2024 startup - Startup that needs their website pages indexed fast for visibility,https://www.ycombinator.com/companies/nowhouse,https://www.ycombinator.com/companies/nowhouse - Check company website for contact info
GetCrux,"San Francisco, CA, USA",AI Creative Strategist,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/getcrux,https://www.ycombinator.com/companies/getcrux - Check company website for contact info
Reprompt,,AI Agents for Location,Winter 2024,YC Winter 2024 startup - AI/ML platform that needs fast indexing for their tool pages to attract early adopters,https://www.ycombinator.com/companies/reprompt,https://www.ycombinator.com/companies/reprompt - Check company website for contact info
