Company Name,Batch,Description,Location,Industry,YC Profile URL,Email Pattern,How to Find Email
Indemni,W24,Cargo Theft and Fraud Prevention Platform,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/indemni,founders@indemni.com or hello@indemni.com,Visit https://www.ycombinator.com/companies/indemni → click company website → check /contact or footer
ParcelBio,W24,Next-generation mRNA medicines,,Healthcare,https://www.ycombinator.com/companies/parcelbio,founders@parcelbio.com or hello@parcelbio.com,Visit https://www.ycombinator.com/companies/parcelbio → click company website → check /contact or footer
K-Scale Labs,W24,Open-source humanoid robots,"Palo Alto, CA",Consumer,https://www.ycombinator.com/companies/k-scale-labs,founders@k-scalelabs.com or hello@k-scalelabs.com,Visit https://www.ycombinator.com/companies/k-scale-labs → click company website → check /contact or footer
Marr Labs,W24,AI-voice agents indistinguishable from humans,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/marr-labs,founders@marrlabs.com or hello@marrlabs.com,Visit https://www.ycombinator.com/companies/marr-labs → click company website → check /contact or footer
Forge Rewards,W24,Starbucks app for restaurants,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/forge-rewards,founders@forgerewards.com or hello@forgerewards.com,Visit https://www.ycombinator.com/companies/forge-rewards → click company website → check /contact or footer
Dropback,W24,Front office software suite for college sports,Remote,Fintech,https://www.ycombinator.com/companies/dropback,founders@dropback.com or hello@dropback.com,Visit https://www.ycombinator.com/companies/dropback → click company website → check /contact or footer
RetailReady,W24,AI-powered supply chain compliance engine,,B2B,https://www.ycombinator.com/companies/retailready,founders@retailready.com or hello@retailready.com,Visit https://www.ycombinator.com/companies/retailready → click company website → check /contact or footer
Same,W24,Build products without coding,"San Francisco, CA",Consumer,https://www.ycombinator.com/companies/same,founders@same.com or hello@same.com,Visit https://www.ycombinator.com/companies/same → click company website → check /contact or footer
NowHouse,W24,Helps stock brokerages settle trades instantly,,Fintech,https://www.ycombinator.com/companies/nowhouse,founders@nowhouse.com or hello@nowhouse.com,Visit https://www.ycombinator.com/companies/nowhouse → click company website → check /contact or footer
GetCrux,W24,AI Creative Strategist,"San Francisco, CA",B2B,https://www.ycombinator.com/companies/getcrux,founders@getcrux.com or hello@getcrux.com,Visit https://www.ycombinator.com/companies/getcrux → click company website → check /contact or footer
Reprompt,W24,AI Agents for Location,,B2B,https://www.ycombinator.com/companies/reprompt,founders@reprompt.com or hello@reprompt.com,Visit https://www.ycombinator.com/companies/reprompt → click company website → check /contact or footer
InspectMind AI,W24,AI agent for construction drawings review,"San Francisco, CA",Real Estate,https://www.ycombinator.com/companies/inspectmind-ai,founders@inspectmindai.com or hello@inspectmindai.com,Visit https://www.ycombinator.com/companies/inspectmind-ai → click company website → check /contact or footer
Yarn,W24,Make sales and marketing videos with AI,"New York, NY",B2B,https://www.ycombinator.com/companies/yarn,founders@yarn.com or hello@yarn.com,Visit https://www.ycombinator.com/companies/yarn → click company website → check /contact or footer
Blacksmith,W24,The fastest way to run your GitHub Actions,,B2B,https://www.ycombinator.com/companies/blacksmith,founders@blacksmith.com or hello@blacksmith.com,Visit https://www.ycombinator.com/companies/blacksmith → click company website → check /contact or footer
